"TIMESTAMP"	"EVENT"	"LOCUS.0"	"LOCUS"	"LOCUS.ORIG"	"NUMBER"	"UID"	"ORIGIN"	"SRC"	"COMMENT"	"DB.OPERATOR"
"2021-01-27 11:20:00"	"deceased"	"Mari El"	"Mari El"	"Республика Марий Эл"	1	NA	NA	"https://стопкоронавирус.рф/ robot-trimmed and post-processed"	NA	"Alexei Kouprianov"
"2021-01-27 11:20:00"	"deceased"	"Mordovia"	"Mordovia"	"Республика Мордовия"	1	NA	NA	"https://стопкоронавирус.рф/ robot-trimmed and post-processed"	NA	"Alexei Kouprianov"
"2021-01-27 11:20:00"	"deceased"	"Chechen rep."	"Chechen rep."	"Чеченская Республика"	1	NA	NA	"https://стопкоронавирус.рф/ robot-trimmed and post-processed"	NA	"Alexei Kouprianov"
"2021-01-27 11:20:00"	"detected"	"Moscow"	"Moscow"	"Москва"	1837	NA	NA	"https://стопкоронавирус.рф/ robot-trimmed and post-processed"	NA	"Alexei Kouprianov"
"2021-01-27 11:20:00"	"detected"	"St. Petersburg"	"St. Petersburg"	"Санкт-Петербург"	1813	NA	NA	"https://стопкоронавирус.рф/ robot-trimmed and post-processed"	NA	"Alexei Kouprianov"
"2021-01-27 11:20:00"	"detected"	"Moscow"	"Moscow region"	"Московская область"	928	NA	NA	"https://стопкоронавирус.рф/ robot-trimmed and post-processed"	NA	"Alexei Kouprianov"
"2021-01-27 11:20:00"	"detected"	"Nizhnii Novgorod"	"Nizhnii Novgorod"	"Нижегородская область"	474	NA	NA	"https://стопкоронавирус.рф/ robot-trimmed and post-processed"	NA	"Alexei Kouprianov"
"2021-01-27 11:20:00"	"detected"	"Voronezh"	"Voronezh"	"Воронежская область"	384	NA	NA	"https://стопкоронавирус.рф/ robot-trimmed and post-processed"	NA	"Alexei Kouprianov"
"2021-01-27 11:20:00"	"detected"	"Rostov-on-Don"	"Rostov-on-Don"	"Ростовская область"	379	NA	NA	"https://стопкоронавирус.рф/ robot-trimmed and post-processed"	NA	"Alexei Kouprianov"
"2021-01-27 11:20:00"	"detected"	"Ekaterinburg"	"Ekaterinburg"	"Свердловская область"	368	NA	NA	"https://стопкоронавирус.рф/ robot-trimmed and post-processed"	NA	"Alexei Kouprianov"
"2021-01-27 11:20:00"	"detected"	"Krasnoyarsk"	"Krasnoyarsk"	"Красноярский край"	321	NA	NA	"https://стопкоронавирус.рф/ robot-trimmed and post-processed"	NA	"Alexei Kouprianov"
"2021-01-27 11:20:00"	"detected"	"Khabarovsk"	"Khabarovsk"	"Хабаровский край"	293	NA	NA	"https://стопкоронавирус.рф/ robot-trimmed and post-processed"	NA	"Alexei Kouprianov"
"2021-01-27 11:20:00"	"detected"	"Vologda"	"Vologda"	"Вологодская область"	290	NA	NA	"https://стопкоронавирус.рф/ robot-trimmed and post-processed"	NA	"Alexei Kouprianov"
"2021-01-27 11:20:00"	"detected"	"Perm krai"	"Perm krai"	"Пермский край"	290	NA	NA	"https://стопкоронавирус.рф/ robot-trimmed and post-processed"	NA	"Alexei Kouprianov"
"2021-01-27 11:20:00"	"detected"	"Cheliabinsk"	"Cheliabinsk"	"Челябинская область "	287	NA	NA	"https://стопкоронавирус.рф/ robot-trimmed and post-processed"	NA	"Alexei Kouprianov"
"2021-01-27 11:20:00"	"detected"	"Samara"	"Samara"	"Самарская область"	275	NA	NA	"https://стопкоронавирус.рф/ robot-trimmed and post-processed"	NA	"Alexei Kouprianov"
"2021-01-27 11:20:00"	"detected"	"Irkutsk"	"Irkutsk"	"Иркутская область"	259	NA	NA	"https://стопкоронавирус.рф/ robot-trimmed and post-processed"	NA	"Alexei Kouprianov"
"2021-01-27 11:20:00"	"detected"	"Saratov"	"Saratov"	"Саратовская область"	252	NA	NA	"https://стопкоронавирус.рф/ robot-trimmed and post-processed"	NA	"Alexei Kouprianov"
"2021-01-27 11:20:00"	"detected"	"Arkhangelsk"	"Arkhangelsk"	"Архангельская область"	243	NA	NA	"https://стопкоронавирус.рф/ robot-trimmed and post-processed"	NA	"Alexei Kouprianov"
"2021-01-27 11:20:00"	"detected"	"Volgograd"	"Volgograd"	"Волгоградская область"	241	NA	NA	"https://стопкоронавирус.рф/ robot-trimmed and post-processed"	NA	"Alexei Kouprianov"
